Timestamp,Price,RSI,BB_Width,BB_Width_Change%,Consecutive_Outside,MACD_Histogram,MACD_Change,Volume_Ratio,Score,Risk
2025-10-21T22:50:00.000,3864.27,42.77,0.02,0.00,0,-3.34,-0.10,3.28,15,NONE
2025-10-21T22:55:00.000,3864.01,42.82,0.02,3.61,0,-3.23,0.10,2.23,30,LOW
2025-10-21T23:00:00.000,3872.33,47.00,0.01,-7.99,0,-2.43,0.77,2.17,15,NONE
2025-10-21T23:05:00.000,3896.0,56.44,0.01,-2.81,0,-0.27,2.14,6.94,15,NONE
2025-10-21T23:10:00.000,3926.07,65.07,0.02,18.70,1,3.03,3.30,15.14,60,MEDIUM
2025-10-21T23:15:00.000,3939.12,67.95,0.02,21.43,2,5.76,2.76,8.23,80,HIGH
2025-10-21T23:20:00.000,3941.49,68.60,0.02,13.26,2,7.27,1.59,7.09,80,HIGH
2025-10-21T23:25:00.000,3913.0,56.81,0.02,2.81,0,6.03,-1.22,5.90,40,LOW
2025-10-21T23:30:00.000,3930.58,61.29,0.03,7.49,0,6.06,0.01,3.33,50,MEDIUM
2025-10-21T23:35:00.000,3930.4,61.06,0.03,5.21,0,5.70,-0.37,2.20,50,MEDIUM
2025-10-21T23:40:00.000,3928.63,60.24,0.03,4.02,0,4.98,-0.70,0.76,15,NONE
2025-10-21T23:45:00.000,3952.94,66.26,0.03,7.81,0,5.79,0.78,3.94,50,MEDIUM
2025-10-21T23:50:00.000,3969.99,69.42,0.03,11.28,1,7.03,1.19,6.45,60,MEDIUM
2025-10-21T23:55:00.000,4020.78,76.87,0.04,24.24,1,10.60,3.52,23.06,60,MEDIUM
2025-10-22T00:00:00.000,4007.1,71.96,0.05,10.22,0,11.27,0.65,10.87,60,MEDIUM
2025-10-22T00:05:00.000,4029.66,75.09,0.05,11.71,1,12.45,1.11,5.68,70,HIGH
2025-10-22T00:10:00.000,4031.6,75.49,0.06,6.71,0,12.50,-0.01,4.45,60,MEDIUM
2025-10-22T00:15:00.000,4034.75,75.85,0.06,6.13,0,11.92,-0.66,2.74,60,MEDIUM
2025-10-22T00:20:00.000,4063.02,79.16,0.06,6.46,0,12.53,0.54,5.68,60,MEDIUM
2025-10-22T00:25:00.000,4053.86,75.44,0.06,0.29,0,11.42,-1.16,3.45,35,LOW
2025-10-22T00:30:00.000,4054.79,75.61,0.06,-1.15,0,9.97,-1.55,2.20,35,LOW
2025-10-22T00:35:00.000,4048.47,72.80,0.06,-4.25,0,7.82,-2.20,2.57,35,LOW
2025-10-22T00:40:00.000,4072.83,76.39,0.06,-3.03,0,7.34,-0.55,1.65,30,LOW
